장기요양기관코드,기관유형코드,기관유형명,정원,현원,
34711000243,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000246,C01,재가장기요양기관 방문요양,0 ,0 ,
34711000246,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000246,C03,재가장기요양기관 주야간보호,9 ,4 ,
34711000251,C01,재가장기요양기관 방문요양,0 ,70 ,
34711000251,C02,재가장기요양기관 방문목욕,0 ,1 ,
34711000273,C01,재가장기요양기관 방문요양,0 ,0 ,
34711000273,C03,재가장기요양기관 주야간보호,38 ,22 ,
34711000275,C01,재가장기요양기관 방문요양,0 ,22 ,
34711000275,C02,재가장기요양기관 방문목욕,0 ,2 ,
34711000277,C01,재가장기요양기관 방문요양,0 ,0 ,
34711000282,C02,재가장기요양기관 방문목욕,0 ,97 ,
34711000282,C06,재가장기요양기관 복지용구,0 ,0 ,
34711000283,C01,재가장기요양기관 방문요양,0 ,24 ,
34711000283,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000293,C01,재가장기요양기관 방문요양,0 ,27 ,
34711000293,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000297,C01,재가장기요양기관 방문요양,0 ,24 ,
34711000297,C03,재가장기요양기관 주야간보호,29 ,20 ,
34711000302,C01,재가장기요양기관 방문요양,0 ,22 ,
34711000304,C01,재가장기요양기관 방문요양,0 ,22 ,
34711000304,C02,재가장기요양기관 방문목욕,0 ,1 ,
34711000307,C01,재가장기요양기관 방문요양,0 ,27 ,
34711000314,C03,재가장기요양기관 주야간보호,15 ,8 ,
34711000315,C01,재가장기요양기관 방문요양,0 ,23 ,
34711000322,C01,재가장기요양기관 방문요양,0 ,69 ,
34711000333,C01,재가장기요양기관 방문요양,0 ,0 ,
34711000335,C01,재가장기요양기관 방문요양,0 ,35 ,
34711000335,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000336,C01,재가장기요양기관 방문요양,0 ,0 ,
34711000336,C03,재가장기요양기관 주야간보호,26 ,25 ,
34711000338,C01,재가장기요양기관 방문요양,0 ,0 ,
34711000338,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000342,C01,재가장기요양기관 방문요양,0 ,23 ,
34711000342,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000344,C01,재가장기요양기관 방문요양,0 ,27 ,
34711000344,C02,재가장기요양기관 방문목욕,0 ,1 ,
34711000346,C01,재가장기요양기관 방문요양,0 ,0 ,
34711000346,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000346,C06,재가장기요양기관 복지용구,0 ,0 ,
34711000347,C01,재가장기요양기관 방문요양,0 ,40 ,
34711000352,C06,재가장기요양기관 복지용구,0 ,7 ,
34711000354,C03,재가장기요양기관 주야간보호,9 ,5 ,
34711000355,C03,재가장기요양기관 주야간보호,9 ,0 ,
34711000360,C01,재가장기요양기관 방문요양,0 ,24 ,
34711000360,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000370,C03,재가장기요양기관 주야간보호,34 ,20 ,
34711000375,C01,재가장기요양기관 방문요양,0 ,26 ,
34711000381,C01,재가장기요양기관 방문요양,0 ,23 ,
34711000381,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000382,C01,재가장기요양기관 방문요양,0 ,21 ,
34711000382,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000384,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000384,C03,재가장기요양기관 주야간보호,38 ,26 ,
34711000387,C01,재가장기요양기관 방문요양,0 ,0 ,
34711000389,C03,재가장기요양기관 주야간보호,15 ,2 ,
34711000390,C01,재가장기요양기관 방문요양,0 ,38 ,
34711000390,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000391,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000391,C03,재가장기요양기관 주야간보호,43 ,24 ,
34711000392,C01,재가장기요양기관 방문요양,0 ,71 ,
34711000392,C03,재가장기요양기관 주야간보호,31 ,30 ,
34711000394,C01,재가장기요양기관 방문요양,0 ,30 ,
34711000394,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000400,C01,재가장기요양기관 방문요양,0 ,7 ,
34711000400,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000401,C01,재가장기요양기관 방문요양,0 ,30 ,
34711000403,C01,재가장기요양기관 방문요양,0 ,0 ,
34711000403,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000403,C03,재가장기요양기관 주야간보호,25 ,18 ,
34711000404,C01,재가장기요양기관 방문요양,0 ,28 ,
34711000404,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000405,C01,재가장기요양기관 방문요양,0 ,1 ,
34711000405,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000406,C01,재가장기요양기관 방문요양,0 ,34 ,
34711000406,C02,재가장기요양기관 방문목욕,0 ,54 ,
34711000409,C01,재가장기요양기관 방문요양,0 ,46 ,
34711000409,C02,재가장기요양기관 방문목욕,0 ,38 ,
34711000412,C01,재가장기요양기관 방문요양,0 ,37 ,
34711000412,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000414,C01,재가장기요양기관 방문요양,0 ,0 ,
34711000414,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000414,C03,재가장기요양기관 주야간보호,56 ,52 ,
34711000418,C03,재가장기요양기관 주야간보호,40 ,18 ,
34711000429,C03,재가장기요양기관 주야간보호,61 ,41 ,
34711000430,C01,재가장기요양기관 방문요양,0 ,24 ,
34711000430,C03,재가장기요양기관 주야간보호,43 ,35 ,
34711000431,C01,재가장기요양기관 방문요양,0 ,28 ,
34711000432,C03,재가장기요양기관 주야간보호,49 ,40 ,
34711000435,C03,재가장기요양기관 주야간보호,24 ,21 ,
34711000436,C01,재가장기요양기관 방문요양,0 ,26 ,
34711000436,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000438,C01,재가장기요양기관 방문요양,0 ,50 ,
34711000438,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000439,C01,재가장기요양기관 방문요양,0 ,14 ,
34711000439,C02,재가장기요양기관 방문목욕,0 ,38 ,
34711000441,C01,재가장기요양기관 방문요양,0 ,3 ,
34711000441,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000442,C01,재가장기요양기관 방문요양,0 ,60 ,
34711000443,C01,재가장기요양기관 방문요양,0 ,2 ,
34711000443,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000447,C01,재가장기요양기관 방문요양,0 ,16 ,
34711000447,C03,재가장기요양기관 주야간보호,54 ,49 ,
34711000450,C01,재가장기요양기관 방문요양,0 ,3 ,
34711000450,C03,재가장기요양기관 주야간보호,0 ,0 ,
34711000450,I31,주야간보호내치매전담1실,18 ,20 ,
34711000451,C01,재가장기요양기관 방문요양,9999 ,35 ,
34711000455,C01,재가장기요양기관 방문요양,9999 ,19 ,
34711000456,C01,재가장기요양기관 방문요양,0 ,23 ,
34711000456,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000459,C01,재가장기요양기관 방문요양,0 ,0 ,
34711000459,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000460,C01,재가장기요양기관 방문요양,0 ,0 ,
34711000460,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000460,C03,재가장기요양기관 주야간보호,34 ,23 ,
34711000467,C01,재가장기요양기관 방문요양,0 ,7 ,
34711000467,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000468,C01,재가장기요양기관 방문요양,0 ,42 ,
34711000471,C01,재가장기요양기관 방문요양,0 ,17 ,
34711000473,C01,재가장기요양기관 방문요양,0 ,24 ,
34711000475,C01,재가장기요양기관 방문요양,0 ,28 ,
34711000475,C02,재가장기요양기관 방문목욕,0 ,0 ,
34711000485,C01,재가장기요양기관 방문요양,0 ,0 ,
34711000485,C03,재가장기요양기관 주야간보호,43 ,42 ,
34711000486,C01,재가장기요양기관 방문요양,0 ,2 ,
34711000486,C02,재가장기요양기관 방문목욕,0 ,2 ,
34711000486,C05,재가장기요양기관 방문간호,0 ,10 ,
34713000122,C01,재가장기요양기관 방문요양,0 ,4 ,
34713000122,C02,재가장기요양기관 방문목욕,0 ,22 ,
34713000132,C01,재가장기요양기관 방문요양,0 ,0 ,
34713000132,C02,재가장기요양기관 방문목욕,0 ,0 ,
34713000132,C03,재가장기요양기관 주야간보호,21 ,8 ,
34713000136,C01,재가장기요양기관 방문요양,0 ,45 ,
34713000136,C02,재가장기요양기관 방문목욕,0 ,40 ,
34713000147,C01,재가장기요양기관 방문요양,0 ,43 ,
34713000147,C02,재가장기요양기관 방문목욕,0 ,32 ,
34713000147,C05,재가장기요양기관 방문간호,0 ,1 ,
34713000152,C03,재가장기요양기관 주야간보호,23 ,23 ,
34713000159,C01,재가장기요양기관 방문요양,0 ,97 ,
34713000159,C02,재가장기요양기관 방문목욕,0 ,25 ,
34713000161,C01,재가장기요양기관 방문요양,0 ,12 ,
34713000161,C02,재가장기요양기관 방문목욕,0 ,0 ,
34713000162,C01,재가장기요양기관 방문요양,0 ,99 ,
34713000162,C02,재가장기요양기관 방문목욕,0 ,7 ,
34713000163,C01,재가장기요양기관 방문요양,0 ,0 ,
34713000163,C02,재가장기요양기관 방문목욕,0 ,0 ,
34713000166,C01,재가장기요양기관 방문요양,0 ,76 ,
34713000166,C02,재가장기요양기관 방문목욕,0 ,119 ,
34713000173,C01,재가장기요양기관 방문요양,0 ,123 ,
34713000173,C02,재가장기요양기관 방문목욕,0 ,12 ,
34713000175,C01,재가장기요양기관 방문요양,0 ,70 ,
34713000175,C02,재가장기요양기관 방문목욕,0 ,60 ,
34713000178,C01,재가장기요양기관 방문요양,0 ,37 ,
34713000178,C02,재가장기요양기관 방문목욕,0 ,0 ,
34713000181,C01,재가장기요양기관 방문요양,0 ,58 ,
34713000181,C02,재가장기요양기관 방문목욕,0 ,73 ,
34713000183,C01,재가장기요양기관 방문요양,0 ,38 ,
34713000183,C02,재가장기요양기관 방문목욕,0 ,37 ,
34713000191,C01,재가장기요양기관 방문요양,0 ,0 ,
34713000191,C02,재가장기요양기관 방문목욕,0 ,0 ,
34713000191,C03,재가장기요양기관 주야간보호,21 ,21 ,
34713000193,C01,재가장기요양기관 방문요양,0 ,16 ,
34713000193,C02,재가장기요양기관 방문목욕,0 ,0 ,
34713000194,C01,재가장기요양기관 방문요양,0 ,79 ,
34713000194,C02,재가장기요양기관 방문목욕,0 ,89 ,
34713000195,C01,재가장기요양기관 방문요양,0 ,30 ,
34713000195,C02,재가장기요양기관 방문목욕,0 ,0 ,
34713000196,C01,재가장기요양기관 방문요양,0 ,11 ,
34713000196,C02,재가장기요양기관 방문목욕,0 ,1 ,
34713000198,C01,재가장기요양기관 방문요양,0 ,43 ,
34713000198,C02,재가장기요양기관 방문목욕,0 ,61 ,
34713000199,C01,재가장기요양기관 방문요양,0 ,5 ,
34713000199,C02,재가장기요양기관 방문목욕,0 ,0 ,
34713000200,C01,재가장기요양기관 방문요양,0 ,29 ,
34713000200,C02,재가장기요양기관 방문목욕,0 ,33 ,
34713000201,C01,재가장기요양기관 방문요양,0 ,18 ,
34713000201,C02,재가장기요양기관 방문목욕,0 ,0 ,
34713000202,C01,재가장기요양기관 방문요양,0 ,48 ,
34713000202,C02,재가장기요양기관 방문목욕,0 ,41 ,
34713000204,C01,재가장기요양기관 방문요양,0 ,68 ,
34713000204,C02,재가장기요양기관 방문목욕,0 ,2 ,
34713000205,C01,재가장기요양기관 방문요양,0 ,8 ,
34713000205,C02,재가장기요양기관 방문목욕,0 ,0 ,
34713000212,C01,재가장기요양기관 방문요양,0 ,20 ,
34713000219,C01,재가장기요양기관 방문요양,0 ,49 ,
34713000221,C01,재가장기요양기관 방문요양,0 ,104 ,
34713000221,C02,재가장기요양기관 방문목욕,0 ,90 ,
34713000223,C01,재가장기요양기관 방문요양,0 ,0 ,
34713000223,C03,재가장기요양기관 주야간보호,37 ,37 ,
34713000226,C01,재가장기요양기관 방문요양,0 ,85 ,
34713000226,C02,재가장기요양기관 방문목욕,0 ,106 ,
34713000230,C01,재가장기요양기관 방문요양,0 ,3 ,
34713000230,C02,재가장기요양기관 방문목욕,0 ,0 ,
34713000234,C01,재가장기요양기관 방문요양,0 ,10 ,
34713000234,C03,재가장기요양기관 주야간보호,26 ,22 ,
34713000234,C05,재가장기요양기관 방문간호,0 ,3 ,
34713000236,C01,재가장기요양기관 방문요양,0 ,0 ,
34713000236,C03,재가장기요양기관 주야간보호,66 ,44 ,
34713000237,C01,재가장기요양기관 방문요양,0 ,42 ,
34713000237,C02,재가장기요양기관 방문목욕,0 ,27 ,
34713000238,C01,재가장기요양기관 방문요양,0 ,32 ,
34713000238,C02,재가장기요양기관 방문목욕,0 ,0 ,
34713000239,C01,재가장기요양기관 방문요양,0 ,10 ,
34713000239,C03,재가장기요양기관 주야간보호,36 ,27 ,
34713000239,C05,재가장기요양기관 방문간호,0 ,2 ,
34713000239,I31,주야간보호내치매전담1실,19 ,15 ,
34713000239,I32,주야간보호내치매전담2실,15 ,8 ,
34713000241,C01,재가장기요양기관 방문요양,0 ,78 ,
34713000241,C02,재가장기요양기관 방문목욕,0 ,43 ,
34713000242,C01,재가장기요양기관 방문요양,0 ,52 ,
34713000242,C02,재가장기요양기관 방문목욕,0 ,44 ,
34713000243,C01,재가장기요양기관 방문요양,0 ,55 ,
34713000248,C01,재가장기요양기관 방문요양,0 ,0 ,
34713000248,C02,재가장기요양기관 방문목욕,0 ,0 ,
34713000248,C03,재가장기요양기관 주야간보호,48 ,41 ,
34713000251,C01,재가장기요양기관 방문요양,0 ,44 ,
34713000251,C02,재가장기요양기관 방문목욕,0 ,37 ,
34713000253,C01,재가장기요양기관 방문요양,0 ,0 ,
34713000253,C03,재가장기요양기관 주야간보호,34 ,34 ,
34713000255,C01,재가장기요양기관 방문요양,0 ,0 ,
34713000255,C02,재가장기요양기관 방문목욕,0 ,0 ,
34713000255,C03,재가장기요양기관 주야간보호,40 ,38 ,
34713000257,C01,재가장기요양기관 방문요양,0 ,18 ,
34713000257,C02,재가장기요양기관 방문목욕,0 ,0 ,
34713000258,C01,재가장기요양기관 방문요양,0 ,0 ,
34713000258,C02,재가장기요양기관 방문목욕,0 ,0 ,
34713000258,C03,재가장기요양기관 주야간보호,32 ,27 ,
34713000260,C01,재가장기요양기관 방문요양,0 ,0 ,
34713000260,C02,재가장기요양기관 방문목욕,0 ,0 ,
34713000266,C01,재가장기요양기관 방문요양,0 ,61 ,
34713000266,C02,재가장기요양기관 방문목욕,0 ,0 ,
34713000266,C05,재가장기요양기관 방문간호,0 ,0 ,
34713000267,C01,재가장기요양기관 방문요양,0 ,6 ,
34713000267,C02,재가장기요양기관 방문목욕,0 ,0 ,
34713000269,C01,재가장기요양기관 방문요양,0 ,26 ,
34713000269,C02,재가장기요양기관 방문목욕,0 ,0 ,
34715000005,C01,재가장기요양기관 방문요양,0 ,55 ,
34715000005,C03,재가장기요양기관 주야간보호,50 ,49 ,
34715000020,C03,재가장기요양기관 주야간보호,75 ,23 ,
34715000023,C03,재가장기요양기관 주야간보호,9 ,9 ,
34715000094,C01,재가장기요양기관 방문요양,0 ,0 ,
34715000094,C02,재가장기요양기관 방문목욕,0 ,0 ,
34715000095,C01,재가장기요양기관 방문요양,0 ,78 ,
34715000095,C02,재가장기요양기관 방문목욕,0 ,0 ,
34715000114,C03,재가장기요양기관 주야간보호,9 ,9 ,
34715000132,C01,재가장기요양기관 방문요양,0 ,0 ,
34715000132,C02,재가장기요양기관 방문목욕,0 ,0 ,
34715000132,C03,재가장기요양기관 주야간보호,16 ,11 ,
34715000134,C01,재가장기요양기관 방문요양,0 ,19 ,
34715000134,C02,재가장기요양기관 방문목욕,0 ,1 ,
34715000134,C03,재가장기요양기관 주야간보호,12 ,6 ,
34715000140,C01,재가장기요양기관 방문요양,0 ,0 ,
34715000140,C02,재가장기요양기관 방문목욕,0 ,0 ,
34715000159,C03,재가장기요양기관 주야간보호,21 ,21 ,
34715000166,C03,재가장기요양기관 주야간보호,24 ,20 ,
34715000173,C03,재가장기요양기관 주야간보호,6 ,3 ,
34715000184,C01,재가장기요양기관 방문요양,0 ,25 ,
34715000184,C03,재가장기요양기관 주야간보호,9 ,9 ,
34715000200,C03,재가장기요양기관 주야간보호,18 ,18 ,
34715000208,C03,재가장기요양기관 주야간보호,5 ,3 ,
34715000210,C03,재가장기요양기관 주야간보호,7 ,5 ,
34715000223,C01,재가장기요양기관 방문요양,0 ,32 ,
34715000223,C02,재가장기요양기관 방문목욕,0 ,0 ,
34715000229,C01,재가장기요양기관 방문요양,0 ,2 ,
34715000229,C02,재가장기요양기관 방문목욕,0 ,1 ,
34715000229,C03,재가장기요양기관 주야간보호,9 ,0 ,
34715000231,C01,재가장기요양기관 방문요양,0 ,0 ,
34715000231,C03,재가장기요양기관 주야간보호,11 ,0 ,
34715000233,C03,재가장기요양기관 주야간보호,17 ,17 ,
34715000237,C03,재가장기요양기관 주야간보호,19 ,5 ,
34715000238,C01,재가장기요양기관 방문요양,0 ,140 ,
34715000238,C02,재가장기요양기관 방문목욕,0 ,0 ,
34715000239,C01,재가장기요양기관 방문요양,0 ,132 ,
34715000239,C02,재가장기요양기관 방문목욕,0 ,0 ,
34715000241,C03,재가장기요양기관 주야간보호,22 ,12 ,
34715000243,C01,재가장기요양기관 방문요양,0 ,0 ,
34715000243,C03,재가장기요양기관 주야간보호,23 ,23 ,
34715000244,C01,재가장기요양기관 방문요양,0 ,30 ,
34715000244,C02,재가장기요양기관 방문목욕,0 ,0 ,
34715000246,C03,재가장기요양기관 주야간보호,7 ,8 ,
34715000249,C01,재가장기요양기관 방문요양,0 ,32 ,
34715000249,C02,재가장기요양기관 방문목욕,0 ,0 ,
34715000260,C01,재가장기요양기관 방문요양,0 ,0 ,
34715000273,C01,재가장기요양기관 방문요양,0 ,114 ,
34715000273,C02,재가장기요양기관 방문목욕,0 ,0 ,
34715000274,C03,재가장기요양기관 주야간보호,29 ,25 ,
34717000013,C03,재가장기요양기관 주야간보호,23 ,22 ,
34717000074,C01,재가장기요양기관 방문요양,0 ,102 ,
34717000074,C02,재가장기요양기관 방문목욕,0 ,68 ,
34717000075,C01,재가장기요양기관 방문요양,0 ,7 ,
34717000078,C01,재가장기요양기관 방문요양,0 ,62 ,
34717000078,C02,재가장기요양기관 방문목욕,0 ,0 ,
34717000078,C03,재가장기요양기관 주야간보호,30 ,26 ,
